region,category,residual_std,residual_mean,residual_mae,mean_actual_demand,train_row_count,cv_pct
East,BEAUTY,1.3389,-0.1309,1.0136,84.3334,45,1.59
East,ELECTRONICS,4.0502,0.2124,1.8494,269.4366,71,1.5
East,HOME,1.0003,-0.0098,0.7359,104.9821,56,0.95
East,KITCHEN,2.248,-0.2795,1.0985,147.2239,67,1.53
East,PET,1.6268,0.0828,1.0882,154.9231,65,1.05
East,TOYS,1.0279,0.018,0.8012,164.9206,63,0.62
North,BEAUTY,1.1647,0.0135,0.8931,63.6667,42,1.83
North,ELECTRONICS,1.7134,-0.0068,1.0833,269.0735,68,0.64
North,HOME,1.2631,-0.0194,0.9235,88.3036,56,1.43
North,KITCHEN,1.435,0.0346,0.8837,128.25,64,1.12
North,PET,1.311,0.1812,0.8462,157.0308,65,0.83
North,TOYS,1.0027,-0.227,0.7516,147.375,64,0.68
South,BEAUTY,0.8722,0.3169,0.7039,58.6739,46,1.49
South,ELECTRONICS,1.7616,0.1145,0.9966,229.942,69,0.77
South,HOME,1.155,0.1483,0.8617,92.5593,59,1.25
South,KITCHEN,2.203,-0.0597,1.2561,137.4,65,1.6
South,PET,1.2467,-0.2519,0.8321,120.1935,62,1.04
South,TOYS,1.1501,0.1569,0.8517,120.3968,63,0.96
West,BEAUTY,0.926,-0.0998,0.724,64.4878,41,1.44
West,ELECTRONICS,2.4479,-0.1712,1.2441,251.8056,72,0.97
West,HOME,1.8416,-0.2165,1.0719,120.2295,61,1.53
West,KITCHEN,1.1769,0.0926,0.8223,133.6032,63,0.88
West,PET,1.1133,0.0966,0.8832,120.8889,63,0.92
West,TOYS,1.0805,0.0195,0.7336,139.1803,61,0.78
